,title,link,create_time
0,某区真好！不管什么初中，只要校排靠前，都有自招机会,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490506&idx=1&sn=7c23217721e366cd46bc57d5eb7571e5&chksm=c041d9eaf73650fc26d89b85c48c2e738627ecc68bc7130c0f2b9a9b93d7c0de2b440936187d#rd,2024-11-16 10:19:45
1,魔渊第一届初中数学素养测评——学生/家长/教师组,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490499&idx=1&sn=08bfe6b2aa457a7e9fbf22f57e1fde22&chksm=c041d9e3f73650f5da07b7afedca2a804fbdd0508b1da4fbbf0bda378a830dd66e68a719ca44#rd,2024-11-15 16:53:42
2,0号君：你最近有点飘了啊！,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490484&idx=1&sn=14d2e25eca3159cef508701eb7ddcd3c&chksm=c041d994f73650820ce83fd87a537bf5ad2cb48587e420a1e68f4d004b0d0c66daf9b01e79b4#rd,2024-11-14 12:01:09
3,与你既定认识可能不同，该怎样扎实地超前学习初中数学？,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490475&idx=1&sn=2dc45c4b52869dd9faed0d7b3238afa7&chksm=c041d98bf736509ddf54b46c77c4a69b2b723f354b22d14e4b61f953b58ebade5e75e9dd850f#rd,2024-11-13 14:44:03
4,照搬数学物理的学习方法，往往很难学好化学,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490460&idx=1&sn=bc52df9d3da74124384041ece46ebe8a&chksm=c041d9bcf73650aa62c0e3022186bef628361faf65b8f2ea2ebf0f285445a93c5c8115599854#rd,2024-11-12 09:29:09
5,昨天，我又拉黑了两位家长,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490459&idx=1&sn=7552f2735a0b344e4c1b27b33b5716fa&chksm=c041d9bbf73650add8ed8953e02f8b4289462e28a2f98b7061f78265066a03018735649e9a19#rd,2024-11-11 09:00:26
6,网传一姐LS在组织大规模神秘考，难度究竟如何？,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490450&idx=1&sn=512daed719d3be5e8b4480726d3001b2&chksm=c041d9b2f73650a4f799db80885c4faad599f31d8112177d447a33440aa2b4d8883f79331b86#rd,2024-11-10 10:46:11
7,纪实——没有系统学习小奥是否意味着从此与自招无缘,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490408&idx=1&sn=cc5df27bd90e5e1b40b3e163231b9d1f&chksm=c041d948f736505efa951a9a77b255fd16cc992e75212159afd1c354854cc8f0e8bdf2bf9317#rd,2024-11-09 09:02:49
8,深夜，我们家长群里有位家长无法入睡,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490403&idx=1&sn=667df6113e9a7bf6678d2253bc371267&chksm=c041d943f73650552e46deba19dec466ec0c3c7a74579373f744cd41b697201f9a49d1f7e06f#rd,2024-11-08 11:30:48
9,有效学业规划的前提是明确考察方向与内容（数学篇）,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490396&idx=1&sn=0e0e861be7fbb139c1d0d89c428a5cba&chksm=c041d97cf736506a934754c7c770152fb1a4703a1974e9718ffa4cd3c358ce4d687d907c9619#rd,2024-11-07 15:58:58
